name,ean,category,subcategory,price_gross,price_net,price_tax
Rotterdamsche Oude 100 Weken Oud Kaas 48+ 300g (Netherlands),8717389206429,Kaas,Plakken kaas,9.99,9.17,0.82
7UP Limoen Citroen 1L,8715600227161,Drankjes,Frisdranken,1.49,1.37,0.12
"AA Drink Energy 0,33L",87222081,Drankjes,Energiedranken,0.89,0.82,0.07
Aardbeien 400g,4061458243308,Fruit & Groente,Vers fruit,3.99,3.66,0.33
Poldergoud aardappel Bbq 450gr,8716447002027,Fruit & Groente,Gesneden groenten,1.59,1.46,0.13
Aard Pg Gourmet 450g,8716447002034,Fruit & Groente,Gesneden groenten,1.59,1.46,0.13
Aard Pg Kriel 450g,8716447002164,Fruit & Groente,Verse Groenten,1.59,1.46,0.13
Aard PG Oven In Kruiden 450g,8716447002188,Fruit & Groente,Gesneden groenten,1.59,1.46,0.13
Aard Pg Tapas 450g,8716447002171,Fruit & Groente,Gesneden groenten,1.59,1.46,0.13
Aard PG Wedges In Kruiden 450g,8716447002447,Fruit & Groente,Gesneden groenten,1.59,1.46,0.13
Adams Hollands Best Amsterdamse Ossenworst 500g,,Slagerij,Gedroogde Worst,5.49,5.04,0.45
Al'Fez Natural Tahini 270g,5034444112567,"Olie, Sauzen & Specerijen",Overige Sauzen,2.69,2.47,0.22
Almhof Chocolademousse 200g (Netherlands),6643676121255,Zuivel & Eieren,Desserts,0.89,0.82,0.07
Almhof Choco met Slagroom Puur 180ml (Netherlands),8717982005054,Zuivel & Eieren,Desserts,0.99,0.91,0.08
Almhof Franse Magere Kwark Naturel 500g (Netherlands),8710477300160,Zuivel & Eieren,Kwark & Yoghurt,1.39,1.28,0.11
Almhof Lekker & Licht Kwark Aardbei 500g (Netherlands),8717982003937,Zuivel & Eieren,Kwark & Yoghurt,1.99,1.83,0.16
Almhof Roomyoghurt Aardbei 500g (Netherlands),8710477300825,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
Almhof Roomyoghurt Mumbai Mango 450g (Netherlands),8717982003036,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
Almhof Roomyoghurt Perzik & Maracuja 500g (Netherlands),8710477300849,Zuivel & Eieren,Kwark & Yoghurt,1.59,1.46,0.13
Almhof Roomyoghurt Spaanse Sinaasappel 500g (Netherlands),4025500114176,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
Almhof Roomyoghurt Stracciatella 450g (Netherlands),8717982000202,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
Almhof Roomyoghurt Walnoot Griekse Honing 500g (Netherlands),4025500125776,Zuivel & Eieren,Kwark & Yoghurt,1.39,1.28,0.11
Almhof Volle Kwark Spaanse Sinaasappel 500g (Netherlands),4025500120832,Zuivel & Eieren,Kwark & Yoghurt,1.99,1.83,0.16
Alpro Haverdrink Suikervrij 1L,5411188124689,Zuivel & Eieren,Plantaardig,2.09,1.92,0.17
Alpro Soya Amandeldrink Suikervrij Amandel 1L,5411188112709,Zuivel & Eieren,Plantaardig,2.19,2.01,0.18
Alpro Soya Mild & Creamy Plantaardige Variatie op Yoghurt Naturel 750ml (Netherlands),5411188110675,Zuivel & Eieren,Plantaardig,2.19,2.01,0.18
Alpro Barista Professionele Haverdrink Glutenvrij 1L,5411188132110,Zuivel & Eieren,Plantaardig,2.29,2.1,0.19
Alpro Soya Sojadrink Choco Soja 1L,5411188115458,Zuivel & Eieren,Plantaardig,1.99,1.83,0.16
Always Dailies Flexistyle Slim Inlegkruisjes Fresh,4015400562818,Drogisterij & Cosmetica,Persoonlijke hygiene,2.89,2.65,0.24
Always Discreet Normal Verband Voor Urineverlies 12 st 12st,4015400874799,Drogisterij & Cosmetica,Persoonlijke hygiene,4.39,4.03,0.36
Always Discreet Plus Long Verband Voor Urineverlies 10 st 10st,4015400761136,Drogisterij & Cosmetica,Persoonlijke hygiene,3.99,3.66,0.33
Always Discreet Small Verband Voor Urineverlies 20 st 20st,4015400814900,Drogisterij & Cosmetica,Persoonlijke hygiene,3.99,3.66,0.33
Always Ultra Long (Maat 2) Maandverband Met Vleugels 24 st 24st,8001841217604,Drogisterij & Cosmetica,Persoonlijke hygiene,4.99,4.58,0.41
Always Ultra Secure Night (Maat 4) Maansverband Vleugels 9 st 9st,8001841217789,Drogisterij & Cosmetica,Persoonlijke hygiene,2.69,2.47,0.22
Ananas 1st,4337125002845,Fruit & Groente,Vers fruit,2.19,2.01,0.18
Andijvie 1st,8426641002746,Fruit & Groente,Verse Groenten,1.79,1.64,0.15
Andijvie Grof 500gr,8711606300525,Fruit & Groente,Gesneden groenten,2.39,2.19,0.2
De Ruijter Hagel Anijs 300g,8710496976612,Ontbijt,Zoet broodbeleg,1.39,1.28,0.11
Antica Compagnia Del Grano Finestrotti Mais 250g,8009273000207,Snoep & Chips,Mueslirepen & gezonde snacks,1.99,1.83,0.16
Antica Compagnia Del Grano Finestrotti Rozemarijn 250g,8002590017514,Snoep & Chips,Mueslirepen & gezonde snacks,1.99,1.83,0.16
Antica Compagnia Del Grano Grissinotti 250g,8024555010507,Snoep & Chips,Mueslirepen & gezonde snacks,1.99,1.83,0.16
Antigrippine 250 mg Paracetamol 20st,8710349123606,Drogisterij & Cosmetica,Gezondheid,3.99,3.66,0.33
Apetina Original Witte Kaas 150g,5711953115875,Kaas,Mozzarella & Feta,1.99,1.83,0.16
Apetina Witte Kaasblokjes in Olie 265g,5711953043031,Kaas,Mozzarella & Feta,2.49,2.28,0.21
Tromp & Rueb Appelazijn 5% 750ml,8720500106850,"Olie, Sauzen & Specerijen",Olie & Azijn,1.79,1.64,0.15
Maille Appel Cider Azijn 500ml,3036810230877,"Olie, Sauzen & Specerijen",Olie & Azijn,4.99,4.58,0.41
Appel Jonagold 1stuk,,Fruit & Groente,,0.39,0.36,0.03
HAK Appelmoes 355g,3083070,Fruit & Groente,Fruit in blik,1.49,1.37,0.12
HAK Appelmoes 720ml,8720600027109,Fruit & Groente,Fruit in blik,1.99,1.83,0.16
Servero Appelmoes Original 350g,87343250,Fruit & Groente,Fruit in blik,1.49,1.37,0.12
Appelsientje Dubbeldrank Ananas & Guarana 1L,8713300079219,Drankjes,Sap,1.89,1.73,0.16
Appelsientje Goudappelltje 1L,8713300050980,Drankjes,Sap,1.59,1.46,0.13
Appelsientje Goudappeltje Volle Smaak Minder Suiker 1L,8720157464396,Drankjes,Sap,1.49,1.37,0.12
Appelsientje Multifruit Volle Smaak Minder Suiker 1L,8713300051116,Drankjes,Sap,1.69,1.55,0.14
Appelsientje Sinaasappelsap 1L,8713300050973,Drankjes,Sap,1.79,1.64,0.15
Appelsientje Sinaasappelsap met Vruchtvlees 1L,8713300050997,Drankjes,Sap,1.79,1.64,0.15
Appelsientje Sinaasappelsap Volle Smaak Minder Suiker 1L,8713300051093,Drankjes,Sap,1.79,1.64,0.15
Appelsientje Zwarte bes 1L,8713300075136,Drankjes,Sap,1.89,1.73,0.16
"Aquarius Lemon 0,33L",90343360,Drankjes,Energiedranken,0.99,0.91,0.08
ARDO Brunoise Mix 1kg,,Diepvries,Groenten & Fruit,2.79,2.56,0.23
ARDO LES TAPAS Groentefrietjes Wortel & Pastinaak 500g,5411361064306,Diepvries,Groenten & Fruit,1.49,1.37,0.12
"AriZona Blueberry 0,5L",613008730772,Drankjes,Ijsthee,1.19,1.09,0.1
"AriZona Green Tea 0,5L",613008761172,Drankjes,Ijsthee,1.09,1.0,0.09
"AriZona Peach 0,5L",613008761141,Drankjes,Ijsthee,1.09,1.0,0.09
Arla Apetina Classic 200g,5760466852470,Kaas,Mozzarella & Feta,2.19,2.01,0.18
"Arla Biologisch Drinkyoghurt Zwarte Bes & Framboos 0,3% Vet 1L (Netherlands)",8718166011120,Zuivel & Eieren,Kwark & Yoghurt,1.89,1.73,0.16
Arla Biologisch Halfvolle Melk 1L (Netherlands),8718166011021,Zuivel & Eieren,Melk,1.39,1.28,0.11
Arla Biologisch Karnemelk 1L (Netherlands),8718166011052,Zuivel & Eieren,Melk,1.39,1.28,0.11
Arla Biologisch Kefir Naturel 1L (Netherlands),7310865690685,Zuivel & Eieren,Kwark & Yoghurt,1.79,1.64,0.15
Arla Biologisch Magere Yoghurt Naturel 1L (Netherlands),8718166011045,Zuivel & Eieren,Kwark & Yoghurt,1.29,1.18,0.11
Arla Biologisch Milde Yoghurt Halfvol 1L (Netherlands),8718166011144,Zuivel & Eieren,Kwark & Yoghurt,1.79,1.64,0.15
Arla Biologisch Volle Melk 1L (Netherlands),8718166011014,Zuivel & Eieren,Melk,1.49,1.37,0.12
Arla Biologisch Volle Yoghurt Vol 1L (Netherlands),8718166011007,Zuivel & Eieren,Kwark & Yoghurt,1.79,1.64,0.15
Arla Lactofree Halfvolle Melk 1L (Netherlands),8718166012110,Zuivel & Eieren,Melk,1.59,1.46,0.13
Arla Skyr 0% Fat Honing 450g (Netherlands),4016241040572,Zuivel & Eieren,Kwark & Yoghurt,1.89,1.73,0.16
Arla Skyr 0% Vet Naturel 450g (Netherlands),4016241040558,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
Maggi Aroma Nr. 2 125g,7613036391931,"Olie, Sauzen & Specerijen",Bouillion,1.39,1.28,0.11
Aro Paneermeel 1kg,4018905402245,Bakken,Bak- & Kookingrediënten,1.19,1.09,0.1
Aro Rozijnen sultana 900g,8711576269556,Fruit & Groente,"Gedroogd fruit, noten",2.99,2.74,0.25
ARO Wattenstaafjes 300st,4016683025472,Drogisterij & Cosmetica,Lichaams- en gezichtsverzorging,0.79,0.72,0.07
Artisjok 1st,,Fruit & Groente,Verse Groenten,2.29,2.1,0.19
Asperges 500gr,8718274481990,Fruit & Groente,Verse Groenten,5.49,5.04,0.45
Astoria Imitatie Kaviaar 50g,8711419751507,Vis,Visconcerven,2.99,2.74,0.25
Aubergine 1st,8715817007785,Fruit & Groente,Verse Groenten,0.99,0.91,0.08
Aviko Aardappelschijfjes 600gr,8710449913657,Diepvries,Frites en snacks,1.79,1.64,0.15
Aviko Airfryer mini aardappelkroket 600g,8710449937400,Diepvries,Frites en snacks,2.79,2.56,0.23
Aviko Airfryer Supercrunch Dik 750g,8710449935581,Diepvries,Frites en snacks,2.79,2.56,0.23
Aviko Bistro Gekruide Chilipartjes 450g,8710449914166,Diepvries,Frites en snacks,1.79,1.64,0.15
Aviko Friet van 't Huis Oma's Smulfriet 750gr,8710449912599,Diepvries,Frites en snacks,1.99,1.83,0.16
Aviko Gratins Tomaat & Mozarella 1500g,,Maaltijden en Gemak,Friet en Snacks ,9.99,9.17,0.82
Aviko Steakhouse Frites 2500g,,Maaltijden en Gemak,Friet en Snacks ,3.99,3.66,0.33
Aviko Vlaamse Friet 2500g,,Maaltijden en Gemak,Friet en Snacks ,3.99,3.66,0.33
Aviko Zoete Aardappel Friet 2270g,,Maaltijden en Gemak,Friet en Snacks ,10.99,10.08,0.91
Maille Azijn Aux Noix 500ml,3036810230341,"Olie, Sauzen & Specerijen",Olie & Azijn,3.79,3.48,0.31
Bakery Stars Libanese Wraps 5 st,,Bakkerij,Wraps,1.99,1.83,0.16
Bakhuys Amsterdam Chocoladebroodje,,Bakkerij,Brood,1.99,1.83,0.16
Bakhuys Amsterdam Croissant,,Bakkerij,Brood,1.59,1.46,0.13
Bakhuys Amsterdam Desem,,Bakkerij,Brood,4.99,4.58,0.41
Bakhuys Amsterdam Stokbrood,,Bakkerij,Brood,2.29,2.1,0.19
Bakker Bertram Gebakken Chocoladebroodje,8720589695214,Bakkerij,Brood,1.69,1.55,0.14
Bakker Bertram Gebakken Croissant,8720589695191,Bakkerij,Brood,1.49,1.37,0.12
Bakker Bertram Gebakken Ham Kaas Croissant,8720589695207,Bakkerij,Brood,2.19,2.01,0.18
Bakker Bertram Half Bruin Pan Gesneden,8720589695153,Bakkerij,Brood,1.49,1.37,0.12
Bakker Bertram Half Casino Wit Bus Gesneden,8720589695160,Bakkerij,Brood,1.59,1.46,0.13
Bakker Bertram Half Oatbran Gesneden,8720589695016,Bakkerij,Brood,1.79,1.64,0.15
Bakker Bertram Half Tijgervloer Wit Gesneden,8720589695146,Bakkerij,Brood,1.59,1.46,0.13
Bakker Bertram Half Zonnekorn Gesneden,8720589695023,Bakkerij,Brood,1.89,1.73,0.16
Bakker Bertram Krentenbol 5st,8720589695054,Bakkerij,Brood,2.89,2.65,0.24
Bakker Bertram Zachte Bol Bruin 5st,8720589695061,Bakkerij,Brood,1.69,1.55,0.14
Bakker Bertram Zachte Bol Wit 5st,8720589695078,Bakkerij,Brood,1.69,1.55,0.14
Bakker Betram Half Volkoren Gesneden,8720589695221,Bakkerij,Brood,1.49,1.37,0.12
Bakkerij Bartels 2 x Roombotercroissant verpakt,8717903676356,Bakkerij,Brood,1.99,1.83,0.16
Bakkerij Bartels 6x Bruine bollen,8718627163757,Bakkerij,Brood,1.99,1.83,0.16
Bakkerij Bartels 6x Rozijnenbol,8717903675663,Bakkerij,Brood,2.89,2.65,0.24
Bakkerij Bartels Half bruine pan 400g gesneden,8718627160411,Bakkerij,Brood,1.39,1.28,0.11
Bakkerij Bartels Half dubbel donker volkoren 400g gesneden,8717903676363,Bakkerij,Brood,1.79,1.64,0.15
Bakkerij Bartels Half multikoren donker 400g gesneden,8718627161340,Bakkerij,Brood,1.79,1.64,0.15
Bakkerij Bartels Half volkoren 400g gesneden,8718627161142,Bakkerij,Brood,1.39,1.28,0.11
